,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Investment Geographical Preference / Project Location,,,,,,,,Investment Round,,,,,,Investment Capial / Capital Seek,,,,,,,,,,Targeted Investment Sectors,,,,,,,,,,,,,
,https://storage.googleapis.com/b2match-as-1/KdMqRqKuUuRWDk4pSLshBNi7,AngelHub,Investor,Jo Chan,Venture Capital ,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Australasia",Y,Y,,,Y,,,"Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,,"500,001 to 1,000,000 USD",,Y,,,,,,,,"Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Environment, Energy and Clean Technology",Y,Y,Y,Y,,,,,Y,,/participations/453733,https://angelhub.io,,"AngelHub empowers investors to build their own venture portfolio and has returned USD 9,100,000 in cash with its 2 exits.
In numbers: 25 investments, USD 17M deployed, 2 exits, 2.1x equity multiplier.

AngelHub is a tech investment platform regulated by the Securities and Futures Commission (SFC).

With AngelHub, investors gain access to a carefully curated selection of tech companies ranging from Series A startups to unicorn-level ventures. This empowers professional investors to choose investment opportunities aligned with their personal strategies. We simplify the decision-making process by providing relevant business intelligence and comprehensive due diligence materials.

Our approach combines a rigorous due diligence process, an extensive network of partners, and the support of the WHub startup ecosystem. This ecosystem empowers tech entrepreneurs, increasing their chances of success.

To date, we have made 25 investments, spanning from Series A to unicorn level, after thoroughly vetting over 2,200 tech companies. Some notable examples include WeLab and AnimocaBrands.

Behind AngelHub is a team of seasoned professionals, experienced entrepreneurs, and passionate tech enthusiasts. Our founders have also established WHub, the largest startup ecosystem in Hong Kong, which supports startups, founders, and their teams."
,https://storage.googleapis.com/b2match-as-1/EEgmzC19nVrATz7Gs4C2nTLk,Antai Securities Limited 安泰证券,Investor,Dave LAU,Institutional Investor,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Africa,Europe,Australasia,Middle East,North America,South America",Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,/participations/450593,https://www.antaisec.com,,"香港证监会HKSFC第1、4、9号牌照（BIX 420）
1）拥有印尼证监会OJK牌照号：KEP-04/PM/PPE/2000，IDX会员编号：QA。
2）管理卢森堡UCITS公募基金，开曼SPC私募基金等


Hong Kong Securities and Futures Commission (HKSFC) Type 1, 4, 9 (BIX 420)
1) With a subsidiary in Jakarta, holding an Indonesian Financial Services Authority (OJK) license (KEP-04/PM/PPE/2000), and membership in the Indonesia Stock Exchange (IDX) with member number QA.
2) Managing Luxembourg UCITS mutual funds and Cayman SPC funds etc."
,,apex capital,Investor,km fung,Venture Capital ,"hong kong, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,Seed & Pre-Series A,Y,,,,,"25,000,001 to 50,000,000 USD",,,,,,,,Y,,Deep Technology,,Y,,,,,,,,,/participations/453558,,,venture capital
,https://storage.googleapis.com/b2match-as-1/5wZRhSWBz9qqYkZ2JcmQwZyU,Arcadia Asia Fund,Investor,Joseph Zeng,Institutional Investor,"Central, China (Hong Kong)", China (Hong Kong),"Asia,Australasia,Middle East,North America",Y,,Y,Y,Y,,,"IPO,Series C and Beyond",,,,Y,Y,"500,000 USD or below,500,001 to 1,000,000 USD,5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,1,000,001 to 2,500,000 USD",Y,Y,Y,Y,Y,,,,,"Consumer,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,,Y,,Y,,/participations/434104,https://www.arcadiaasiafund.com/,,"A private fund investing into companies in technology, energy, mining, consumer, and pharma/healthcare sectors in Asia, Middle East, and the US


一家投资亚洲、中东和美国科技、能源、采矿、消费和制药/医疗保健领域公司的私募基金



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/Po4eADhcTBnsmmDK42goYV9u,Arta techfin,Investor,Henan Huang,Family Office ,"香港, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,IPO,,,,,Y,"25,000,001 to 50,000,000 USD",,,,,,,,Y,,"Financial Technology,Infrastructure and Real Estate Services",Y,,,,,,,Y,,,/participations/434121,https://www.artatechfin.com/,,"HK00279 一家全牌照的金融证券公司


HK00279 A fully licensed financial securities company



The content of this page has been translated by AI. In case of any discrepancies, please refer to the original document."
,https://storage.googleapis.com/b2match-as-1/F3GYjwkBmpJYy4sCueAEPPfA,Asia Pacific RIM Limited,Investor,Billy Kan,Family Office ,"Melbourne, Australia", Australia,"Asia,Australasia",Y,,,,Y,,,"IPO,Seed & Pre-Series A",Y,Y,,,Y,"500,001 to 1,000,000 USD",,Y,,,,,,,,"Deep Technology,Financial Technology,Healthcare Technology,Digital Entertainment and Media,Environment, Energy and Clean Technology",Y,Y,Y,Y,,Y,,,,,/participations/434645,,,"explore investment opportunities and update market information


探索投资机会并更新市场信息



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,,Asofium GmbH,Investor,Jana Rubin,Family Office ,"Frankfurt Main, Germany", Germany,Europe,,Y,,,,,,,,,,,,"25,000,001 to 50,000,000 USD",,,,,,,,Y,,"Deep Technology,Financial Technology,Healthcare Technology,Environment, Energy and Clean Technology",Y,Y,Y,Y,,,,,,,/participations/454424,http://www.asofium.com,,"Family office. We invest in real estate in Europe, Tech companies, BioTech companies, Data centres."
,https://storage.googleapis.com/b2match-as-1/M3Uw7mY9iPP2pE2DzSqh4LvN,Association of Family Office in Asia,Investor,Louis Poon,Institutional Investor,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,North America",Y,,Y,,,,,"IPO,Series A,Seed & Pre-Series A",Y,Y,,,Y,"5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,1,000,001 to 2,500,000 USD,7,500,001 to 10,000,000 USD",,,Y,Y,Y,Y,,,,"Financial Technology,Food and Agriculture,Environment, Energy and Clean Technology",Y,,Y,,,,,,Y,,/participations/434954,https://www.familyoffices-asia.com/,https://www.linkedin.com/company/association-of-family-offices-in-asia/,"Our mission is working with stakeholders in creating a better world.  We wish to be useful and be trusted.  We support the vision pursuance and address the diversified needs of the affluent families, their family offices and the institutions that serve them.


我们的使命是与利益相关者合作，共同创造一个更美好的世界。我们希望成为有用的并值得信赖的伙伴。我们支持愿景追求，并满足富裕家庭、家族办公室及为其提供服务的机构的多样化需求。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/Pc93C1WWhSL9TAyLraraPBwG,Avantagents,Investor,JEAN-BAPTISTE DEAL,Accelerator ,"Wanchai, China (Hong Kong)", China (Hong Kong),"Asia,Europe",Y,Y,,,,,,,,,,,,,,,,,,,,,,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/participations/450298,http://www.avant-agents.com,https://www.linkedin.com/company/avantagents/,"Avant Agents is a Business Accelerator, we connect projects with money, clients, and partners. We create value thanks to a unique combination of attributes: language abilities, cultural awareness, negotiation skills, a strong network, and a high level of integrity. Avant Agents is a trusted partner working with businesses and organizations from around the globe. The company delivers value in projects involving global trade and project financing."
,https://storage.googleapis.com/b2match-as-1/G3WzUTf9vhRXKsY5gs2tTqW4,AVENUE ASSET MANAGEMENT,Investor,KOH choy,Family Office ,"HONG KOING, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Australasia",Y,Y,,,Y,,,"IPO,Series B,Seed & Pre-Series A",Y,Y,Y,,Y,"50,000,001 USD or above",,,,,,,,,Y,"Food and Agriculture,Healthcare Technology,Digital Entertainment and Media,Environment, Energy and Clean Technology",,,Y,Y,,Y,,,Y,,/participations/436491,,https://www.linkedin.com/company/avenue-financial-group-limited/,"Avenue offers investment  services for the intricate financial needs of high-net-worth families even with more nuanced financial situations. We also provide family office investments and also have private equity and participate in direct project investment too, AUM  is over 1.5 b USD


Avenue为高净值家庭提供投资服务，满足其复杂的财务需求，即使是更加缜密复杂的财务情况也能应对。我们还提供家族办公室投资，并参与私募股权和直接项目投资，资产管理规模超过15亿美元。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/7Eqkawsh4nWh8B8jpCoEsDj3,Axano Ventures Ltd,Investor,Colin Sanders,Venture Capital ,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Australasia,North America",Y,Y,Y,,Y,,,Seed & Pre-Series A,Y,,,,,"7,500,001 to 10,000,000 USD,25,000,001 to 50,000,000 USD,10,000,001 to 25,000,000 USD",,,,,,Y,Y,Y,,"Healthcare Technology,Digital Entertainment and Media",,,,Y,,Y,,,,,/participations/451965,,,"Provision of corporate advisory and strategic investments. We work across multiple business segments, including sports, beverages, healthcare etc..
Colin Sanders is a Fellow of the Institute of Chartered Accountants with rich experience in business management and advisory across multiple business lines. He has held positions as CFO/Financial Director in several different industries and is experienced in working in many Asian countries."
,https://storage.googleapis.com/b2match-as-1/9Pwnvghri5q1eycvjvTuciFk,Bank of Communication Hong Kong,Investor,Steve Chau,Institutional Investor,"NA, China (Hong Kong)", China (Hong Kong),,,,,,,,,"IPO,Series B,Series C and Beyond",,,Y,Y,Y,"50,000,001 USD or above,25,000,001 to 50,000,000 USD,10,000,001 to 25,000,000 USD",,,,,,,Y,Y,Y,,,,,,,,,,,,/participations/435294,https://www.hk.bankcomm.com/hk/shtml/hk/en/2005568/list.shtml?channelId=2005568,,N/A
,https://storage.googleapis.com/b2match-as-1/Bnv1WhEMhFgtYmAwcLq26njy,Be One Family Office Limited,Investor,Ho Lun Leung,Family Office ,"Hong Kong SAR, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,,,,,,,,,,,,,,,,,"Education,Financial Technology,Infrastructure and Real Estate Services",Y,,,,,,,Y,,Y,/participations/454252,,,.
,https://storage.googleapis.com/b2match-as-1/B328FUAN2uFkm4g6ea7FcCkA,Beijing Tong Ren Tang Chinese Medicine Company Limited,Investor,Sarah Hou,Institutional Investor,"Hk, China (Hong Kong)", China (Hong Kong),"Asia,Europe,Australasia",Y,Y,,,Y,,,Series C and Beyond,,,,Y,,,,,,,,,,,,,,,,,,,,,,,/participations/434648,https://ir.tongrentangcm.com/en/investor-relations/ir-home/,,08138.HK
,https://storage.googleapis.com/b2match-as-1/7TJrCEFCWRRqzHRug7ZbGYNd,Bestech Clean Energy,Investor,Alex Au,Accelerator ,"Bangrak, Thailand", Thailand,Asia,Y,,,,,,,Series A,,Y,,,,"10,000,001 to 25,000,000 USD",,,,,,,Y,,,"Environment, Energy and Clean Technology",,,Y,,,,,,,,/participations/433788,https://www.bestechcleanenergy.com,,"Bestech Clean Energy LLC specializes in municipal solid waste recycling and electrical power generation through the use of MSW incineration, Biomass Gasification, solar photovoltaic technologies, and wind. BCE offers three types of renewable energy technologies. We can design, construct, and operate electrical power incineration plants that use Municipal Solid Waste as feedstock for the process. We can also design, install, and operate large commercial solar array systems and wind turbine systems.


Bestech Clean Energy LLC 专门从事城市固体废物回收利用，并通过使用城市固体废物焚化、生物质气化、太阳能光伏技术和风力发电。BCE 提供三种可再生能源技术。我们可以设计、建造和运营以城市固体废弃物为原料的电力焚烧厂。我们还可以设计、安装和运营大型商业太阳能电池阵列系统和风力涡轮机系统。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/A7ZNi8rPsvQwSksTwtaiargn,Better World,Investor,JooYoung Lim,Private Equity ,"Incheon, South Korea", South Korea,"Asia,Africa,Europe,Australasia,Middle East,North America,South America",Y,Y,Y,Y,Y,Y,Y,"IPO,Series C and Beyond",,,,Y,Y,"50,000,001 USD or above",,,,,,,,,Y,"Consumer,Education,Deep Technology,Financial Technology,Food and Agriculture,Healthcare Technology,Manufacturing Technology,Digital Entertainment and Media,Infrastructure and Real Estate Services,Environment, Energy and Clean Technology",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,/participations/434020,,,"Private equity fund
Capital broker


私募股权基金
资本经纪人



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/B7ckiVmh26YsUKccA94k6o7L,Beyond Ventures,Investor,SHUANG HU,Venture Capital ,"Hong Kong, China (Hong Kong)", China (Hong Kong),Asia,Y,,,,,,,"Series A,Series B,Seed & Pre-Series A,Series C and Beyond",Y,Y,Y,Y,,"5,000,001 to 7,500,000 USD,2,500,001 to 5,000,000 USD,7,500,001 to 10,000,000 USD,10,000,001 to 25,000,000 USD",,,,Y,Y,Y,Y,,,"Deep Technology,Financial Technology,Manufacturing Technology,Environment, Energy and Clean Technology",Y,Y,Y,,,,Y,,,,/participations/449993,,,"A major issue for Hong Kong start-ups is that the limitations of a small local market make funding difficult to find. Beyond Ventures aims to change all that by making the sky the limit for start-ups.

The fund’s mission is to revitalise Hong Kong’s ecosystem of innovation by bringing together local venture capitalists and entrepreneurs to invest in new ideas and start-ups.



中国香港初创企业面临的主要问题之一便是当地市场规模较小，难以寻得融资。Beyond Ventures 旨在变革这一情况，让初创企业一飞冲天。

该基金的使命是为中国香港的创新生态注入活力，凝聚当地风头资本和企业家投资全新理念和初创企业。

页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/JT1GkKhNcpiHTwyuni6X3TLw,Blocklogica Labs,Investor,Asal Alizade,Venture Capital ,"Dubai, United Arab Emirates", United Arab Emirates,,,,,,,,,Seed & Pre-Series A,Y,,,,,"25,000,001 to 50,000,000 USD",,,,,,,,Y,,"Deep Technology,Financial Technology,Digital Entertainment and Media",Y,Y,,,,Y,,,,,/participations/449102,https://www.blocklogica.io/,,"Blocklogica Labs is the ultimate Web3 Strategy Hub propelling disruptive start-ups and visionary investors towards boosted success rate.


Blocklogica Labs 是最好的 Web3 战略中心，推动颠覆性初创企业和有远见的投资者提高成功率。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
,https://storage.googleapis.com/b2match-as-1/BtMQi33r8hbSgDHhv6faWaiP,Blue Ocean Capital Group,Investor,Frank Yang,Venture Capital ,"Hong Kong, China (Hong Kong)", China (Hong Kong),"Asia,Europe,North America",Y,Y,Y,,,,,"Series A,Seed & Pre-Series A",Y,Y,,,,"500,001 to 1,000,000 USD,2,500,001 to 5,000,000 USD,1,000,001 to 2,500,000 USD",,Y,Y,Y,,,,,,"Food and Agriculture,Healthcare Technology",,,,Y,,,,,Y,,/participations/434632,https://www.bocggp.com/,https://www.linkedin.com/company/bocg/,"Blue Ocean Capital Group (“BOCG”) is a life science focused venture capital investment firm and has carried out investments in the innovative biotech hubs of Greater China, U.S.A and selected countries in Europe. 

BOCG is committed to driving the transformation of biotechnology and empowering the development of innovative enterprises, leveraging its tremendous experience, extensive industrial network, and scientific research resources. Since its founding in late 2015, BOCG has invested in various innovative biotech and medical device companies with US$300+ million in cumulative capital commitments.


Blue Ocean Capital Group（“BOCG”）是一家专注于生命科学领域的风险投资公司，已在大中华地区、美国和欧洲部分国家的创新生物技术中心开展投资。

BOCG利用自身丰富的经验、广泛的产业网络和科研资源，致力于推动生物技术变革，赋能创新企业发展。自2015年底成立以来，中银集团已投资多家创新型生物技术和医疗器械企业，累计资本承诺超过3亿美元。



页面显示AI翻译资讯，内容如有歧异，请以原文为准。"
