,,,
,Company Name,Company Representative,Title
,Blue Ocean Capital Group,Frank Yang,Founding Partner & CEO
,Blue Sky Energy Technology Ltd,Christina Tang,Director
,BlueCrow Capital,BlueCrow Capital,"Lisbon, Portugal"
,BlueMind,Akil Balachandran,Founder and CEO
,BlueMount Capital (Qld) Pty Ltd,Flora Mok,"Director, M&A"
,BlueOnion Limited,Elsa Pau,Group CEO
,BMS Group,Martijn de Lange,Managing Director
,BNP,Jonathan Chiu,VP
,Boehringer Ingelheim Venture Fund,Mia Hu,Investment Director
,Bolt Battery & Bolt Energy,Simon Hui,Director
,Brdgx,Donald Chan,Director
,Bridgewise Analytics Ltd.,Gibby T. Wildeman,Business Development Manager
,Brilliant Energy Solution Technology Ltd.,Daniel Liu,Founder
,Brinc Venture Capital,Guillermo Ginesta,Managing Director
,Bristol Capital Limited,Kenny Lee,CEO
,Bull Capital Limited,David Huang,Partner
,BVMW e.V.,Shan (Susan) Xu,"Frankfurt am Main, Germany"
,BWSea Technology,Polly Ng,Founder and CEO
,Cachet Asset Management,Jeff Ng,Associate
,Cachet Group,Angela Chow,CEO
,Camloy International Limited,Nixon Chung,Managing Director
,Canadia Bank,Sophea Chheang,Heard of Consumer Banking
,Cannon Asset Managers,Deshan Naidoo,Executive Chairman
,Cannon Assets Managers,Tshepo Modiba,Chief Investment Officer
,Canopy Pte. Ltd.,Mu Chen,Chief Executive Officer
,Canpanion Group,Christine Tsui,"Co-Founder, CEO"
,Canpanion Group Limited,Queenie Ng,Co-founder
,Canthevac Limited,Thrimendra Dissanayake,Head of Growth
,Capital Market Authority Saudi Arabia,Abdalrhman Alawad,"Riyadh, Saudi Arabia"
,CAPRiser Group,Marc Ng,CEO
,CARAGE SDN BHD,Michael Aw,Director
,CARBON10B X Limited,Ulf Henning Richter,CEO
,CarePros,Charles Wong,CEO
,Casa de Comunicacion,Demi HUANG,Global Expansion Partner
,Cathoven,Summer Long,Co-founder & CMO
,CC KINGDOM CORPORATE FINANCE,Simon Cheung,Director
,CCB International Asset Management,stella Wang,"HK, China (Hong Kong)"
,Centaline Investment,Joey Lo,Vice President
,Central Europe Trust,David Keresztes,Principal
,Centre for Translational Stem Cell Biology,Angel Lee,Assistant Director
,Centre for Translational Stem Cell Biology,Jessica Yu,Business Development Director
,Cesource Technical Private Limited,Chandan Kumar,CEO
,CHEC Port City Colombo,Dinuka Niwantha,Senior Manager - Business Development & Investment Promotion
,CHEC Port City Colombo,Samuel Shi,Director
,China - Bangladesh Investment and Partnership Platform,Alex Wang,Managing Director
,China Power International Holding Ltd,Bryan Tsang,Senior Advisor
,China Railway International Hong Kong limited,Xusen Wang,General Manager
,China Resources Capital,Ann Wang,Investment Manager
,China Tianying Inc. 中国天楹股份有限公司,Gloria Zhou,Public Relations Manager
,Chomp,Carla Martinesi,Founder
,Cimple Biotechnology Limited,Wengang LIU,CEO
,Citi,Haotian Zhang,VP
,Clark International Airport Corporation,Melissa Feliciano,Chief Business Officer
,Clee Capital,Chris Lee,CEO
,ClimateKick,Edoardo Francesco Sabatino,Chief Executive Officer
,ClimateKick,Edward Lam,Syndication & Distribution Lead
,Climind,Chen Yiwei,Representative
,Cloudsway,Victor Wong,Sales
,Cobblestone Capital,Lan Mi,Principal
,Coded Solution Limited,Carrie Pan,HR Head
,Coderschool,Charles Lee,Founder and CEO
,Cogo,Terry NG,"Partnership Manager, Asia"
,ColdBlock Technologies Inc,Craig West,CEO
,ColendiBank,Bulent Tekmen,Founder
,COMITIVA RESILIENTE UNIPESSOAL LDA,Jiffin Thomas Chakkalaparambil Joseph,"POVOA DE SANTA IRIA, Portugal"
,Complex Capital,Sam Kennedy,Director
,Compliance Pro Company Limited,Wai man Ng,Managing Director
,Consulate General of Myanmar in Hong Kong,Hnin Zar Hlwar,Economic Attache
,Contech Enterprises Limited,Robert Allender,Director
,COOMERA RESORT AND SUITE GOLD COAST AUSTRALIA,Miguel Chiu,CHAIR
,Copenhagen Infrastructure Partners,Emma Vase,Senior Associate
,"Cosmos International Management Co., Ltd.",Takuma Mimura,Managing Director
,creative valley,Kelly Zhang,director business development
,creditease,Ning Fan,Director
,Crewstone,John Bivins,Investor
,Crewstone International,Jane Teoh,Investor Relations
,CrimsonLogic,Cui Wei,Sales& Operation Director at CrimsonLogic
,CRYPTO PROCESSOR LABS,Djuro Bajic,CEO & Founder
,CS PROSPERITY CONSULTANCY PTE. LTD,Winnie Yeung,创始合伙人
,CUHK Innovation,Joyce Ng,"The Chinese University of Hong Kong, China (Hong Kong)"
,CUSTONOMY,Annie Hui,COO
,Cytonic,Ivan Miskovic,Founder and CEO
,D&S Resources Pty Ltd,Andres Donoso,Managing Director
,Daejoong Life Science,Seungtaek NA,Managing Partner
,Dartmouth Partners Limited,Drew Dorweiler 卓维,Managing Director
,DBS Bank(Hong Kong) limited,THAEJESHWAR SAKETHRAM,AVP - Wealth Management
,DeepTranslate Limited,Colin Hong,CEO
,DEFTA Capital Inc.,Mikio Tanji,Executive Officer
,D-Engraver Limited,Man Shing Ngai,CEO
,Dentisfy Limited,Albert Lam,CEO
,Diginex,Mark Blick,CEO
,Digital Climate Group,Guillaume Cunnington,COO
,Digital Climate Group Limited,Karolis Navickas,VP-Strategy
,Digital Districts,Eric Lee,Regional Managing Partner
,Dow Jones,Sharon Chu,Risk & Compliance Specialist Northeast Asia
,Dow Jones,Patrick Ho,Account Manager (Risk & Compliance)
,Dreame Technology,Isabella Pang,Senior Associate
,DROP System,Cathy Lai,"CEO, Co-Founder"
,Dynamic Vacuum Technology Corp.,"Angela Chiu, CFA",Co-founder
,E3A Healthcare,Bosco Yeung,Business Development Director
,E3A Healthcare,Shawn Li,CEO
,East Tide 928 (Pty) Ltd,Vincent. C Hendry,CEO
,Eastelligence,Louis Lu,"Hong Kong, China (Hong Kong)"
,Ecoinno (H.K.) Limited,George Chen,CEO
,EmergentX Technology Limited,Esme Pau,CEO
,Emme Media Group HK Limited,Gaurav Sharma,CEO
,Emnotion Ltd.,Ilya Shapira,CEO
,EmoEx Technology Limited,Will Zhang,CEO
,Empyrean Venture - Dreame Technology,Max Mao,Managing Director
,Endowus HK Limited,Gloria Chiu,"Senior Associate, Business Development and Partnerships"
,EnergyGlare,Rumen Yordanov,CEO
,enlight venture,yongmin kim,Managing partner and Founder
,Ensonic,Zhangtian Fan,Partner/CSO
,Entoptica Limited,Mukhit Kulmaganbetov,CEO
,Entoq Environmental Technologies Inc.,Ramon Atadye,Chairman
,EpiMedTech Global Ltd (previously HKG epitherapeutics Ltd),Moshe Szyf,Chairman CSO
,EQT,Queenie Wong,Director
,ESCO LIFESCIENCES GROUP,LAY YEW LIM,FOUNDER AND DIRECTOR
,ESG Development Company Limited,Veronica Hung,Chief of Engagement
,Eureka FinTech TW Limited,Hwa-Ping Chang,CEO
,Euroclear,Alexander Sulaimani,"Director, Business Development"
,Evident Limited,Florian M Spiegl,Founder & CEO
,Evident Limited,Kenneth Li,Head of Asset Servicing
,EXANTE / XHK Limited,Gigi Su,VP
,EximPe,Arjun Abraham Zacharia,CEO and Founder
,Expando®,Xavier Roso,Co-Founder & CEO
,Expertiqa Technologies Inc.,Kamyar Rouindej,Managing Director
,EXS Capital Group,Cathy Huang,Managing Director
,Fairman Consulting Limited,Neha Goenka,Head - Hong Kong Office
,FAN HUA Insurance brokers,ding dan,business director
,FCC Analytics Limited,Wai Kwong Chow,Fraud Risk & Compliance Director
,Feebris,Elina Naydenova,CEO
,Filix Medtech Limited,Wai Kong Wong,Founder & CEO
,Fill Easy Limited,Matthew Zi Jin Lee,CEO
,Filzer Health Innovations,Mandy Wong,Commercial Strategist
,Finance Advisory Board Ltd,Jean-Roch Martin,Managing Partner
,Finbot Limited,Kai Pong Tsang,Founder
,FinCatch Limited,Lok Kan Chan,Co-Founder & CEO
,Finoverse,Alison Yim,Head of Corporate Partnership
,Finoverse,Susanna Chen,"Hong Kong, China (Hong Kong)"
,Finstep Asia,Musheer Ahmed,Founder & Managing Director
,Fintica AI Ltd.,Shirley Kwong,"Managing Direct, Global Client Coverage"
,Finvolution Group,Maxine Juan,Business Development
,First Capital Asia Investment Ltd,Shing CHENG,Managing Director
,Five Peaks Capital,Yolanda Tan,Managing Director
,FJ Dynamics,Benson Dai,Sales Manager
,Flash Green,Kai Chung Ting,Manager
,Fluotech Biosciences Limited,Mohamed Elhousseini Hilal,Associate Research Scientist
,Fortunate Realty Corp,David Sun,President
,Fosun Health Capital,Laurel Zhang,Executive Director
,Fraggz.com,Eddery Chan,COO
,Full Nature Farm,Ronald Yeung,Director
,Futurism Labs,Hankun KIM,Senior Software Engineer
,FxmTrack Financials,Manoj Patel,Founder CEO
,G Capital,Tian Gan,Founder&Ceo
,Gaia,Nan Zhang,founder and CEO
,Gan&Lee Pharmaceuticals,Cheng Sun,CFO
,GBA Partners Limited,William Barkshire,Managing Partner
,GBA Youth Innovation & Entrepreneurship Foundation,Ben YIP,Director
,GDEIA,Jessie Mao,Partner
,Gense Technologies,Justin Chan,Founding CEO
,Germany Trade & Invest,Robert Herzner,Chief Representative
,Ginseng Swap,Tony Lau,"Toronto, Canada"
,Glass Ventures,Cinderella Amar,Managing Partner
,GLG,Belle G. Cooper,VP
,Goba Solutions Limited  (GoByBus.hk),Ken Yung,Chief Business Developer
,Gobi Energy Metals Corp.,Rob Cohoe,Chief Executive Officer
,Gobi Partners,Renee Pan,Managing Director
,Grandis Capital,JF Liu,Partner
,Great Power 鵬輝能源,Authur Chung,Business Development Manager
,GreatMeta Limited,Leonardo Liu,Business Manager
,Green Point Data Solutions,Tiger Yung,CEO
,Green Vigor Limited,Penney Chong,Co-founder
,Grid Biosciences,DJ Leung,CEO
,Guangdong Electronics & Information Industry Association广东省电子信息行业协会,Nikita Kwong,Commercial Director
,Guangdong Investment Limited,Sun Chen,"General Manager, Strategic Development Department"
,Guangdong Investment Limited,Huimin LI,"Hong Kong, China (Hong Kong)"
,Guangdong Tianyu Semiconductor Company Ltd,Vincent Chin,"Guangdong, China"
,"Guangzhou Hecai Network Technology Co., Ltd.  广州和财网络科技有限公司",家伟 Jiawei 叶 leaf,董事长 Chairman
,Guosen Securities,Ang Li,Manager
,Hakko Bakko,Tommy Leung,CEO
,"Hangzhou Hengke filter environment protection Co.,LTD杭州恒科环保技术有限公司",卫兵 吴,Chairman董事长
,Haptic R&D Consulting SRL,Daniel Chirtes,CEO
,HealthBridge AI,Dr Nelson Lau,CEO & CoFounder
,"Hebei Tudian Technology Co., Ltd",kan liu,managing director
,Heejung Yang,Heejung Yang,Investor
,Helios & Partners,Humphrey Ho,CEO
,Hex Trust,Marty Jetton,Advisory Board Member
,HighLight Capital,Xing (Henry) He,Senior Managing Director
,Hivemind Capital,Gigi Cho,Investment Principal
,Hivemind Capital,Gigi Cho,Investment Principal
,HK-Dtech Limited,Laurent Koehler,Co-Founder and CBDO
,HKSTP,Derek Chan,"Senior Manager, Investor Engagement"
,HNWI Private Limited,Steven Tsui,Director
,Holding HCDC,Jialin jin,Head of Partnerships
,HONG KONG ARTS INVESTMENT COMPANY LIMITED,Li Lee Chiu,CEO
,Hong Kong Chamber of Commerce (Qianhai),Charlene Huang,Assistant
,Hong Kong Science and Technology Parks Corporation,Edward Suen,Venture Fund Manager
,Hong Kong Science and Technology Parks Corporation,Cherry Chen,Manager
,Hong Kong Virtual Asset Exchange Limited,"Wai Leung, Anthony Ng",Co-Founder and CEO
,Hong Kong Youth Innovation and Entrepreneurship Association 香港青年創新創業協會有限公司,Vanessa Dang,Vice President
,HQ Capital,Shannon Liang,"Hong Kong, China (Hong Kong)"
,HSBC,Phillip BRETNALL,Head of Global Trustee and Fiduciary Services Asia Pacific
,HSBC,Dominic Chu,"Central, China (Hong Kong)"
,HSBC Private Credit,Nan Liu,"HK, China (Hong Kong)"
,Huaneng Invesco Private Equity Company Ltd.,Nan Zhao,Senior Associate
,Huaneng Invesco Private Equity Investment Management Limited,Shuangqi xu,Senior Analyst
,Huaneng-Invesco Private Equity,Ivan Lee,"Hong Kong, China (Hong Kong)"
,"Hubei Meritar Supply Chain Co.,Ltd.",David Deng,Vice President
,Hyjadechain International Green Energy Collaboration Co. Ltd.,Tony Gao,CEO
,Hylid Diagnostics Inc.,Jack Fairbank,CEO
,Hyre,Eropa Stein,CEO
,I.S. Natura (HK) Limited,Sean Chen,Director
,ICBC UBS Asset Management International,Le Zhuo,"AVP, Global Business"
,i-Cognitio Sciences,Ivan Mok,Business Development Associate
,iDeals Solutions Limited,Milu Gao,BD Manager
,Ideia Partners,JASON MARK ELVINO DE SOUSA,Managing Partner
,Ignite Partners ltd,Alex Harris,CEO
,IMS Digital Ventures,Harsha Maturu,Principal
,INCE CAPITAL,Jiao Stacy,INVESTMENT MANAGER
,Inclusive Momentum Inc,Thomas Wong,"Brampton, Canada"
,Infiniteblock,Gu-tae Jung,CEO
,Innoblock Technology Limited,Chin Fung Lam,Account Manager
,Innocorn Technology Limited,Daniel Lee,Founder
,Inovat Ltd.,Ilya Melkumov,CEO
,Inovat.tax,Sonya Baranova,"London, United Kingdom"
,Insight Capital,Billy Wong,Director
,Insight Capital,Darren Chow,Partner
,INSTO,Bruce Chen,Founder & CEO
,InsurLink Company Limited,朱 深美,总经理
,Interex Design LLC,Enkhbileg Bilegsaikhan,Founder & CEO
,International Underwriting Limited,Juntung Wu,Director
,Interomni Plus Limited,Ringo Lee,COO & co-founder
,Invest in Spain - Trade Commission of Spain,Javier Serra,Senior Trade Commissioner
,InvestHK,King Leung,"Global Head of Financial Services, Fintech & Sustainability"
,IOBC Capital,Pei Wu,General Partner
,IOSG Ventures,Gokhan Er,Managing Director
,IPV Capital,Alex Banh,Managing Director
,Islamic Banking and Finance Institute Malaysia (IBFIM),Yusry Yusoff,Chief Executive Officer
,Isola Capital,Yida Wang,Business Development
,Istanbul Financial Center,Yunus Girgin,Mar-Comm Manager
,Istimar Tech Limited (Vavita),Daniel Bronstein,CEO / Co-Founder
,IVE (Haking Wong),Brian Mok,Student (Business)
,IXON,Felix Cheung,Founder and CEO
,IXON Food,Raymond Choi,Director of Business Development and Sales - China
,J.P. Morgan,Anthea Wong,Banker
,J2X,James Li,Founder and CEO
,Jin Sui Group,Patrick Lee,Special Counsellor to the Group(Project Fund raising and International Trading)
,JS Group,Winnie Lei,"CIO, Osaka Hotels and Minpaku Investments"
,JUSTINMIND,Xavier Renom Portet,CEO
,KAYAMO,Paolo Picazo,"Chairman, Founder"
,KAYAMO,Karen Grace Singson,"CEO, Co Founder"
,Keiretsu Forum Canada,Ozan Isinak,President
,Keno Nanofiber Company Limited,Kenneth Lo,CEO/CTO
,Kilde,Radek Jezbera,CEO
,KIN Farms,Jonathan Yeoh,Co-Founder
,Kingkey Management Limited,Melbourne Cheng,Managing Director of Direct Investment Dept
,Klaara Pte Ltd,Darren Liang,Business Development Director
,KlickPoints,Matthew Wong,Founder
,KlickPoints,Chee Chun Cheung,"Hong Kong, China (Hong Kong)"
,KlickPoints,joanne Lau,"Hong Kong, China (Hong Kong)"
,Koh's Development (Hong Kong) Limited,Jeanette Guo,Founder & CEO
,Kokoxili Photonics Limited,Ke Zhang,Co-founder & CEO
,KorumLegal,Titus Rahiri,CEO & Founder
,KPMG China,Irene Chu,Partner
,"Kubota Pharmaceutical Holdings Co., Ltd.",Tadahisa Terao,Chief Strategy Officer
,KunlunChem,Fan Gao,"Budapest, Hungary"
,Kyobo Securities,Heejin Shin,Head of New Business Development - Ventures & Digital Assets
,KYUSHU ENERGY (HONG KONG) LIMITED,Jenny JING JING WU,Director
,Lanchi Ventures,Anny Luo,"Hong Kong, China (Hong Kong)"
,leviaries,浩斐 罗,"Hong Kong, Cayman Islands"
,LIBERTIFY,Florian Lang,CEO APAC
,Lighthouse Capital,Chen Charatay,Senior Director
,Liquid,Kevin Leung,Director
,Liquidity Technologies Pte. Ltd.,Monica Yuan,Head of Marketing and Partnerships
,LiveStyle852 Group Limited,Jessita Wong,財富管理
,Loeb Smith Attorneys,Christen lee,Director
,LONDON COLLEGE FOR DESIGN & FASHION,HANG HA THI,Managing Director
,LuTech,"Ray Wong, MBA, MEng",Founder
,Lystar Group,Tracy Lai,Partner
,M&A Club,Eric Cardinal,Senior Vice President
,M&A Community,Andy XU,Community Head
,M23 Fund,Yukari Endo,Fundraising
,Macquarie Capital,Marshal G,Investor
,Magellan Capital Advisors,Richard Burton,Managing Director
,MAGENTACORE,Leroy Zahid,Chief Executive Director
,Maison Meyer Limited,Chloe Cheung,Founder
,Makebell,Ronald Yu,Director
,Malaysian Takaful Association,Shazlyna binti Abdullah,Executive Secretary
,Mark Technology,samantha Wong,Business Manager
,Mark-Link Business Advisory Group Ltd.,Herrick Wong,Director
,Marktech Development,Santiago Maya,Co-Founder CEO
,MassPhoton Limited,Yitao Liao,CEO
,MB Consulting Ltd,Teresa Ng,CEO
,MCLANTIS CO LIMITED,Rong Xue,MD
,ME WORLD,Rajan Desai,Founder & CEO
,ME WORLD,MEGH DESAI,Director
,"MEA Group (MEA Aviation Solutions, MEA E-Commerce)",Rizhao （Richard) Zhu,President
,Meat the Next,Sonia Lee,Sales and Marketing Manager
,MediMe,Eli Walles,Co-founder and CEO
,Megazone Cloud Corporation,Dennis Chan,Business Development Manager
,Merger-link Consulting,Samuel WANG,Partner
,Michael Mak,Michael Mak,Digital Transformation and Digital Product Executive
,Midas Analytics Limited,Michele De Filippo,Founder
,Midwest USA Chinese Chamber of Commerce,Leo Chan,Executive Director
,MIFC Leadership Council,Herny Malek,Manager
,Milken Institute,Jason Lee,Senior Director
,Ministry of Investment of Saudi Arabia,Chunli Wang,General Manager of China Office
,MioTech,Teresa Sek,"Hong Kong, China (Hong Kong)"
,Mirae Asset,Carrie Wang,"Hong Kong, China (Hong Kong)"
,Mithera Capital,David Liu,Chairman and CEO
,ML TECH CAPITAL LLC,Helen Wu,Business Development APAC
,"Modoo Life Co.,Ltd",JUNGEUN LEE,CEO
,"Moment Studio CO.,LTD",Sungchul Shin,CEO
,Monetic Technologies Private Limited,Gaurav Bansal,"CEO, Director"
,money concepts asia holdings LTD,Denise cheung,CEO
,Moon Lab Limited,Lu Wang,Co-Founder & CFO
,Moore Transaction Services Limited,Kenneth Ma,Director
,More Classifieds Agency  Ltd,Willice Onyango,CEO
,Moriyama holdings,Simon Mok,Owner
,MOSAIK legal France,William Mak,Partner
,M-TRAVEL BUSINESS,Alexis Thierry Makazung,"yaounde, Cameroon"
,Mucker Capital,Jerry Chen,"LA, United States"
,"Nanjing IASO Biotechnology Co.,Ltd",MENGHAN LIN,board secretary/IRD
,Nations Capital,Lwazi Koyana,Managing Director
,Negawatt Utility Limited,Arthur Lam,Co-founder & CEO
,Netaxis Group Ltd,Johann Dechant,General Partner
,Neubit,Ville Lindström,Managing Director
,NeuCo Academy,Jonathan Ting,Managing Partnet
,Neuron Digital Group,David Chiu,Finance Director
,Neuron Operations Limited,Man Ho David Chiu,Director
,Newgen Venture,Andy Wong,Investment Manager
,Nexara capital,Michael Ng,MD
,Noor Ventures,Marcin Lapa 拉帕马丁,CEO
,North America Opportunities Limited partnership Fund,Keith Wong,GP
,NORTH BETA LABS,SHAODONG HUANG,Founder
,NOTA,Stan Yerovenko,CEO
,Nova Ventures,Jason Mercier,Project Manager- NovaVentures
,Nova Ventures Inc.,SYDNY PHEIFER,Partner
,Novus Life Sciences,Eugene Ho,Director of Investor Relationship
,Numbers Protocol,Chun-Che Fang,Head of Ecosystem Growth
,NUTRIGENEAI BIOTECH LIMITED,GARY NG,DIRECTOR
,Octiv  Capital,"Benedict Ho, CFA",CIO
,Octiv Capital,Calvin Lam,Co- Founder and CEO
,OKOsix Limited,Eddie Yu,Founder and CEO
,Olea Global (Hong Kong) Limited,Chris Lau,"Director, Commercial"
,Omphalos Fund,Sebastian Wozniczka,Senior Quantitative Analyst
,One Energy (HK) Limited,Kevin To,Chairman
,One Global Holding,Mohammed AlRashidi,Founder & Executive Chairman
,OneChain Ltd.,Anne Yeung,Founder & CEO
,OneCup Inc.,So Jung (Sophie) Choi,Founder & CEO
,onefi,Allen PakChing Lau,"Hong Kong, China (Hong Kong)"
,OneKey Limited,Hao Zou,COO
,On-us Company Limited,Honnus Cheung,Co-Founder & Chief Strategy Officer
,OpenGMV,DEHENG LI,Co-founder&COO
,Openpower Technology Holdings Limited,XU HONGBO,"Shenzhen,China"
,OPPO,Tao Chen,Senior Investment Manager
,Orchid Asia Group,William Chan,Managing Director
,ORDRZ,Shahzeb Rizvi,Cofounder
,Otech,Barna Neupane,Managing Director
,Otonomi Inc.,Wilfred Lau,Head of APAC
,Otoyol Yatirim ve Isletme A.S.,Murat Kosal,Deputy CFO
,PaleBlueDot.AI,Matthias Leung,VP
,Pan Ocean Advisory,Joanna LEE,Director
,PAN X CORP. dba DANSFARMAROOT,Daniel Kaye,"Founder, CEO"
,PANAMASIA Financial Services,Dominique GETREY,Managing Partner
,PandaPay Technology Limited,Wenjun Ye,CEO
,Pantheon Lab Limited,Chuk Kwan Shum,Finance Director
,Parcel365 Sdn Bhd,Eddie Mok,Director
,Pelican Capital Limited,Dave Cheung,Director - Strategic Consulting (Technology)
,Penny,Majid Aldalooj,Co-Founder
,Perennial,Henry Chan,Director
,PerksBar Limited,Jack Cheung,CEO
,PING,Tony zhang,co-founder
,PingAn,Helen Ng,BD manager
,PingAn,Helen Ng,"Hk, China (Hong Kong)"
,Pivotal Technologies Limited,"Chung Yu, Crystal Chan",Executive Assistant
,Planto,Jessica Liu,Co-Founder
,"Play for Dream （Shanghai） Technology Co.,Ltd",Cynthia Cui,Finance
,Plunkett Capital Holdings Limited,Yanan Sun,"Hong Kong, China (Hong Kong)"
,PMI,Samuel W,PMI
,PortfoPlus Limited,Colin Wong,Fouinder
,PRD Angels,Lui Tong,Chairman
,"Premier Capital Partners Co., Ltd.",Keith Beckerle,Partner
,Presidency of The Republic of Türkiye Investment Office,Ahmet Sami Yavuz,Project Manager
,Presidency of The Republic of Türkiye Investment Office,AHMET SERHAT TURAN,COUNTRY ADVISOR
,Private family office,Jasmine Yin,Private banker
,Private Office,Juan Enrique Manosalva Brun,Managing Director
,Privé Technologies,Matt Lee,Head of Hong Kong Sales
,Professional Insurance Brokers Association,Herman Cheung,Chairman
,Profit magik,은지 김,Ceo
,Propcap Technologies Limited,Louis Lee,Co-Founder & Chief Distribution Officer
,ProShalom Investments Inc,Steve Sze,President
,Prosperity7 Ventures,AYSAR TAYEB,Executive Managing Director
,PT Petronesia Energi Internasional,Helmi Maemozax,President
,Pure Harvest Smart Farms,Sky Kurtz,Co-Founder and CEO
,Pure Harvest Smart Farms,Sky Kurtz,Founder & CEO
,QBN Capital,Philea Chim,Senior VP
,"Qianxing Privilege, SCR, SA",Jennifer Lee,Partner
,Quam Plus International Financial Limited,Henry Yau,Managing Director
,QuantCube Technology,Thanh-Long Huynh,CEO
,Rainmaker Ventures Holdings,Ka Ming Andre Kwok,Founder and Director
